번호,연도,작품,배역1,배우1,배역2,배우2,OST가수,OST곡,실제매칭가수,실제매칭곡,앨범
145,2020,이태원 클라쓰,박새로이,박서준,조이서,김다미,가호,시작,가호,시작,ITAEWON CLASS (Original Television Soundtrack) Pt. 2 - Single
146,2020,청춘기록,사혜준,박보검,안정하,박소담,자넷서,청춘기록,자넷서,청춘기록,청춘기록 (Original Television Soundtrack)
147,2020,출사표,구세라,나나,서공명,박성훈,츄,봄꽃,츄,봄꽃,출사표(Original Television Soundtrack)
148,2020,카이로스,김서진,신성록,한애리,이세영,김태현,"카이로스 (Original Television Soundtrack, Pt. 6)",김태현,"카이로스 (Original Television Soundtrack, Pt. 6)","카이로스 (Original Television Soundtrack, Pt. 6) - Single"
149,2020,편의점 샛별이,최대현,지창욱,정샛별,김유정,로시,잠이 오지 않는 밤에,로시,잠이 오지 않는 밤에,"편의점 샛별이 (Original Television Soundtrack), Special"
150,2021,갯마을 차차차,홍두식,김선호,윤혜진,신민아,카더가든,로맨틱 선데이,카더가든,로맨틱 선데이,"갯마을 차차차, Pt. 1 (Original Television Soundtrack) - Single"
151,2021,그 해 우리는,최웅,최우식,국연수,김다미,10CM,서랍,10CM,서랍,그 해 우리는 (Original Television Soundtrack) Special
152,2021,라켓소년단,윤해강,탕준상,한세윤,이재인,더보이즈,지금처럼,더보이즈,지금처럼,"라켓소년단 (Original Television Soundtrack), Pt. 1 - Single"
153,2021,마이 네임,윤지우,한소희,무진,박희순,황상준,My Name (feat. Swervy & JEMINN),황상준,My Name (feat. Swervy & JEMINN),마이 네임 (Original Soundtrack from the Netflix Series)
154,2021,모범택시,김도기,이제훈,강하나,이솜,김성율,모범택시,김성율,모범택시,모범택시 (Original Soundtrack)
155,2021,빈센조,빈센조 까사노,송중기,홍차영,전여빈,존박,I'm Always by Your Side,존박,I′m Always by Your Side,"빈센조, Pt. 6 (Original Television Soundtrack) - Single"
156,2021,슬기로운 의사생활 시즌2,이익준,조정석,채송화,전미도,이무진,비와 당신,이무진,비와 당신,슬기로운 의사생활 시즌2 (Original Television Soundtrack)
157,2021,어느 날 우리 집 현관으로,김사람,서인국,탁동경,박보영,투모로우바이투게더,널 보면 시간이 멈춰 어느 순간에도,투모로우바이투게더,널 보면 시간이 멈춰 어느 순간에도,"어느 날 우리 집 현관으로 멸망이 들어왔다 (Original Television Soundtrack), Pt. 2 - Single"
158,2021,엉클,왕준혁,오정세,왕준희,전혜진,추상민,Be your side,추상민,Be your side,엉클 (Original Television Soundtrack)
159,2021,오징어 게임,성기훈,이정재,강새벽,정호연,김성수,Pink Soldiers,김성수,Pink Soldiers,오징어게임 (Original Soundtrack from The Netflix Series)
160,2021,옷소매 붉은 끝동,이산,이준호,성덕임,이세영,휘인,바라고 바라,휘인,바라고 바라,"옷소매 붉은 끝동 (Original Soundtrack), Pt. 1 - Single"
161,2021,지금 헤어지는 중입니다,하영은,송혜교,윤재국,장기용,허상은 & 박영익,지금 헤어지는 중입니다,허상은 & 박영익,지금 헤어지는 중입니다,"지금, 헤어지는 중입니다 (Original Soundtrack)"
162,2021,해피니스,윤새봄,한효주,정이현,박형식,Joe Layne,Some Day,Joe Layne,Some Day,해피니스 (Original Television Soundtrack)
